repertoire,locus,unique_v3j,unique_vdj,reads
Levin_2015_SIT_timepoint-365_tissue-PBMC_IGHE_SIT_tissue-PBMC_subject-2_timepoint-365_Age-30_SRR5754981_iglblastn_iglblastn_IGHE,IGH,341,1140,3612
Vander_Heiden_2017_Heavy_MK05_IGHM_MK05_Naive_Bcells_age38_Musk_disease-8_stageI_iglblastn_igblastn_IGHM,IGL,62,71,76
Briney_2019_Subject_327059_unknown_Subject-327059_Replicate-4_Isotype-unknown,IGH,33,38,38
Galson_2016_Visit-4_Subject-2954_Total-B-cells_Subject-2954_Visit-4_age-20_Total-B-cells_iglblastn,IGK,2,2,2
Zhou_2013_NIAID45_VK3_2_iglblastn,IGL,2,2,2
Parameswaran_2014_PConv_Bulk_479_PConv_iglblastn_Bulk,IGH,4673,5821,6025
Eliyahu_2018_Heavy_HCV_IGG_Bulk_HCV_CI15_IGG_igblastn_Bulk,IGL,1,1,2
Levin_2015_SIT_timepoint-0_tissue-Biopsy_IGHE_SIT_tissue-Biopsy_subject-8_timepoint-0_Age-24_SRR5754967_iglblastn_iglblastn_IGHE,IGH,4,26,66
Briney_2019_Subject_326651_unknown_Subject-326651_Replicate-14_Isotype-unknown,IGK,1,1,1
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_C7_IGA_igblastn_Bulk,IGH,51,72,616
Huang_2016_light_2014_2014_1st_run_light_1-fq-gz_iglblastn,IGK,115543,2134689,2134822
Vander_Heiden_2017_Heavy_HD13_Bulk_HD13_Unsorted_Bcells_age51_healty_iglblastn_igblastn_Bulk,IGH,140,167,173
Parameswaran_2014_Acute_IGHA_172_Acute_iglblastn_IGHA,IGH,2,2,2
Briney_2019_Subject_326713_IgE_Subject-326713_Replicate-13_Isotype-IgE,IGH,1371,1427,1427
Briney_2019_Subject_326907_unknown_Subject-326907_Replicate-11_Isotype-unknown,IGK,16,16,16
Briney_2019_Subject_D103_IgE_Subject-D103_Replicate-10_Isotype-IgE,IGL,1,2,2
Briney_2019_Subject_D103_unknown_Subject-D103_Replicate-10_Isotype-unknown,IGK,1,1,1
Rubelt_2016_TWINs_4_TW04B_IGHE_TW04B_B_memory_iglblastn_IGHE,IGL,1,1,1
Sheng_2017_Heavy_LP32647-IGHM-7_igblastn,IGH,94927,132527,138900
Waltari_2018_Light_Healthy_PBMCs_Bulk_Heavy_Healthy_PBMCs_BD3h_igblastn_Bulk,IGK,650,817,819
Bashford_2013_Healthy_subject-7_Bulk_Healthy_subject-7_Age-23_repeat-1_iglblastn_Bulk,IGH,16379,17551,18211
Gupta_2017_Heavy_IB_volunteer_IGHD_IB_after_3d_SRX2251665_iglblastn_igblastn_IGHD,IGK,115,120,122
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S28_Naive-B-Cells_igblastn_Bulk,IGH,245,386,449
Waltari_2018_Light_Healthy_cord-blood-cells_Bulk_Heavy_Healthy_cord-blood-cells_CB5-repeat1_igblastn_Bulk,IGH,1462,2018,2124
Sundling_2014_IGHV3_IGHV3_iglblastn,IGH,57506,135418,215585
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHM_NoSIT_tissue-PBMC_subject-15_timepoint-0_Age-24_SRR5755101_iglblastn_iglblastn_IGHM,IGH,1106,1141,1209
Banerjee_2017_terminal_bleed_terminal_collection_spleen_iglblastn,IGH,406394,2202082,2758866
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-3_timepoint-56_Age-30_SRR5755020_iglblastn_iglblastn_IGHA,IGH,1033,1302,1498
Levin_2017_Peripheral_Donor3_Bulk_Donor3_PB_2_iglblastn_Bulk,IGH,106,189,189
Wu_2011_Light_pt45_kappa_iglblastn,IGH,19,40,45
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S14_Naive-B-Cells_igblastn_IGHA,IGH,8,138,197
Gupta_2017_Heavy_GMC_volunteer_IGHD_GMC_after_2w_SRX2251673_iglblastn_igblastn_IGHD,IGH,806,4063,7536
Ellebedy_2016_Day-7_HA-positive-activated-B-cell_Bulk_HA-positive-activated-B-cell_Day-7_Donor-8_igblastn_Bulk,IGH,14,16,16
Briney_2019_Subject_327059_unknown_Subject-327059_Replicate-7_Isotype-unknown,IGH,36,38,38
Rubelt_2016_TWINs_2_TW02B_IGHD_TW02B_B_memory_iglblastn_IGHD,IGH,1100,2619,2623
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S100_Naive-B-Cells_igblastn_Bulk,IGH,205,317,373
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S20_Naive-B-Cells_igblastn_IGHD,IGH,5595,15122,17668
Eliyahu_2018_Heavy_HCV_IGA_IGHA_HCV_CI26_IGA_igblastn_IGHA,IGH,3524,7655,56462
Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-5_igblastn_IGHA,IGH,553,7043,7494
Ohm-Laursen_2018_Heavy_Healthy_IGHG_Heavy_Healthy_Biopsy_6_igblastn_IGHG,IGH,18889,771130,791325
Sheng_2017_Heavy_LP23810-IGHG-22_igblastn,IGK,48,52,52
Vander_Heiden_2017_Light_MK04_MK04_Memory_Bcells_age54_Musk_disease-19_stageIIb_iglblastn,IGH,6954,38976,60973
Levin_2015_SIT_timepoint-365_tissue-PBMC_IGHG_SIT_tissue-PBMC_subject-2_timepoint-365_Age-30_SRR5754981_iglblastn_iglblastn_IGHG,IGH,523,672,777
Levin_2015_SIT_timepoint-365_tissue-PBMC_IGHE_SIT_tissue-PBMC_subject-3_timepoint-365_Age-30_SRR5754987_iglblastn_iglblastn_IGHE,IGH,150,364,1066
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S34_Naive-B-Cells_igblastn_IGHD,IGL,1,1,1
Levin_2015_NoSIT_timepoint-0_tissue-Biopsy_IGHA_NoSIT_tissue-Biopsy_subject-13_timepoint-0_Age-38_SRR5755082_iglblastn_iglblastn_IGHA,IGH,8,8,9
Briney_2019_Subject_327059_IgG_Subject-327059_Replicate-2_Isotype-IgG,IGH,225263,673950,675130
Eliyahu_2018_Heavy_HCV_IGM_IGHM_HCV_CI13_IGM_igblastn_IGHM,IGH,35875,42633,166622
Vander_Heiden_2017_Heavy_AR02_IGHD_AR02_Memory_Bcells_age61_ACh_disease-1year_stageIIIa_iglblastn_igblastn_IGHD,IGH,977,3879,4683
Gupta_2017_Heavy_Fv_volunteer_IGHD_FV_after_4w_SRX2251680_iglblastn_igblastn_IGHD,IGH,1103,1493,1663
Galson_2016_Visit-2_Subject-2624_Total-B-cells_Subject-2624_Visit-2_age-23_Total-B-cells_iglblastn,IGL,1,1,1
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S9_Naive-B-Cells_igblastn_Bulk,IGL,13636,92181,103991
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S61_Naive-B-Cells_igblastn_IGHM,IGH,72526,139230,151259
Briney_2019_Subject_326737_unknown_Subject-326737_Replicate-6_Isotype-unknown,IGH,25,26,26
Thornqvist_2018_Donor-1_Bone-Marrow_IGHA_Donor_1_bone_marrow_sample_2_igblastn_IGHA,IGH,47739,286987,289504
Levin_2017_Peripheral_Donor3_IGHD_Donor3_PB_2_iglblastn_IGHD,IGH,32,35,35
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_CI26_IGA_igblastn_Bulk,IGH,28,34,338
Galson_2016_Visit-7_Subject-2624_Total-B-cells_Subject-2624_Visit-7_age-23_Total-B-cells_iglblastn,IGH,54584,158477,197837
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHG_SIT_tissue-PBMC_subject-4_timepoint-0_Age-36_SRR5755067_iglblastn_iglblastn_IGHG,IGH,752,1048,1223
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_SC1_IGA_igblastn_Bulk,IGK,2,2,4
Bonsignori_2016_Hiv_infected_week-53_IGHG_HIV_infected_week-53_week_repeat-5_PBMC_iglblastn_igblastn_IGHG,IGH,3,3,3
Doria-Rose_2015_Light_Week30_CAP256-Week30-Light_iglblastn,IGH,7,7,7
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S80_Naive-B-Cells_igblastn_IGHD,IGH,14195,36319,42449
Levin_2015_NoSIT_timepoint-365_tissue-Biopsy_IGHG_NoSIT_tissue-Biopsy_subject-10_timepoint-365_Age-30_SRR5755061_iglblastn_iglblastn_IGHG,IGH,451,702,1023
Vander_Heiden_2017_Heavy_MK04_IGHA_MK04_Memory_Bcells_age54_Musk_disease-19_stageIIb_iglblastn_igblastn_IGHA,IGH,2208,15503,24321
Briney_2019_Subject_326737_IgD_Subject-326737_Replicate-10_Isotype-IgD,IGH,74,101,101
Wu_2011_Heavy_Bulk_pt45_HC_iglblastn_igblastn_Bulk,IGH,14369,22657,24377
Parameswaran_2014_Acute_Bulk_237_Acute_iglblastn_Bulk,IGH,5121,8250,8716
Briney_2019_Subject_326737_IgM_Subject-326737_Replicate-10_Isotype-IgM,IGH,210273,796589,797440
Menzel_2014_Primer_extension_method_PE2_iglblastn,IGH,287022,2478977,2479000
Davis_2019_Heavy_EVD15_IGHA_Heavy_EVD15_EBOLA_3month_PBMC_igblastn_IGHA,IGH,26527,108803,109936
Galson_2016_Visit-7_Subject-2083_Total-B-cells_Subject-2083_Visit-7_age-24_Total-B-cells_iglblastn,IGH,52080,131614,160594
Rubelt_2016_TWINs_1_TW01B_IGHE_TW01B_B_memory_iglblastn_IGHE,IGH,10,12,12
